season,event_code,event_name,team_count,match_count,team_number,adv_rank,qual_rank,qual_points,alliance_selection_points,award_points,playoff_points,total_points
2025,USMIHOQ2,Hartland Qualifier,35,55,21340,35,35,4,0,0,0,4
2025,USMIKEQ,Kentwood Qualifier,35,54,16646,1,7,13,17,60,20,110
2025,USMIKEQ,Kentwood Qualifier,35,54,11228,2,1,16,20,30,40,106
2025,USMIKEQ,Kentwood Qualifier,35,54,10104,3,2,15,20,12,40,87
2025,USMIKEQ,Kentwood Qualifier,35,54,5663,4,3,15,19,15,10,59
2025,USMIKEQ,Kentwood Qualifier,35,54,15815,5,9,12,19,12,10,53
2025,USMIKEQ,Kentwood Qualifier,35,54,18975,6,5,14,17,0,20,51
2025,USMIKEQ,Kentwood Qualifier,35,54,5292,7,8,12,16,6,5,39
2025,USMIKEQ,Kentwood Qualifier,35,54,10024,8,10,12,18,6,0,36
2025,USMIKEQ,Kentwood Qualifier,35,54,13754,9,6,13,16,0,5,34
2025,USMIKEQ,Kentwood Qualifier,35,54,8027,10,4,14,18,0,0,32
2025,USMIKEQ,Kentwood Qualifier,35,54,5384,11,11,11,15,0,0,26
2025,USMIKEQ,Kentwood Qualifier,35,54,5960,12,12,11,15,0,0,26
2025,USMIKEQ,Kentwood Qualifier,35,54,10031,13,16,10,0,12,0,22
2025,USMIKEQ,Kentwood Qualifier,35,54,5383,14,22,9,0,12,0,21
2025,USMIKEQ,Kentwood Qualifier,35,54,24050,15,21,9,0,12,0,21
2025,USMIKEQ,Kentwood Qualifier,35,54,11266,16,24,8,0,12,0,20
2025,USMIKEQ,Kentwood Qualifier,35,54,12845,17,31,6,0,12,0,18
2025,USMIKEQ,Kentwood Qualifier,35,54,14933,18,30,6,0,12,0,18
2025,USMIKEQ,Kentwood Qualifier,35,54,11531,19,15,10,0,6,0,16
2025,USMIKEQ,Kentwood Qualifier,35,54,11846,20,25,8,0,6,0,14
2025,USMIKEQ,Kentwood Qualifier,35,54,22154,21,23,8,0,6,0,14
2025,USMIKEQ,Kentwood Qualifier,35,54,17283,22,32,5,0,6,0,11
2025,USMIKEQ,Kentwood Qualifier,35,54,5980,23,13,11,0,0,0,11
2025,USMIKEQ,Kentwood Qualifier,35,54,31969,24,14,11,0,0,0,11
2025,USMIKEQ,Kentwood Qualifier,35,54,9087,25,35,4,0,6,0,10
2025,USMIKEQ,Kentwood Qualifier,35,54,6482,26,18,10,0,0,0,10
